1,2,3,4,5
576077,166061,201548,519467,625912
426765,82361,125340,408988,427492
725723,169849,229059,603231,649277
731166,136397,237730,624713,480612
370119,82370,121334,338979,386328
845240,121996,196800,566309,644139
523114,127793,187122,496785,514086
899171,108717,119480,350547,394830
608697,145053,191692,719029,612257
556419,103578,229093,485522,547655
683051,127205,204965,669074,690000
684953,144209,204186,597834,679731
685291,127839,204241,629674,738192
1251394,225506,569014,1046320,1331189
399988,74485,117565,344993,395280
699638,167235,130114,344382,409742
367601,77802,121558,342883,386033
702886,120077,203357,577332,667816
733939,134935,211951,629148,723653
564434,84027,133855,388632,475714
439802,82875,139260,386736,436995
780967,138353,233618,695416,388154
668401,82428,122756,343074,387664
727988,136526,315034,764677,711271
843120,71915,122412,343619,388356
725724,137984,219280,631568,539927
424491,76781,126990,373548,469995
428994,75152,114762,418596,452490
373367,81821,121875,336634,404419
423788,81152,127507,369553,419927
611661,107810,183648,530595,774910
579828,103005,164886,479877,552106
472445,83386,134187,387311,438175
739615,128420,204684,600650,747684
371993,81919,119372,341818,386050
576649,111078,234887,522020,584991
477572,89317,142878,417536,474529
846346,184714,247537,666039,482141
477772,93896,153784,435422,491196
401738,81527,118075,344572,400437
728715,136333,219360,640143,729943
420863,79385,128011,364375,436610
1244310,226974,361509,1108196,1212626
611355,114776,176322,561874,604289
998866,131557,209285,709278,416175
1060597,226673,366404,1056195,1256322
426507,79402,126994,376631,422845
687301,128598,198871,599052,681480
370176,82459,121466,344415,386995
646156,115164,192924,875735,1329458
553020,104152,180323,581838,548286
498775,133201,209658,463252,516069
1214759,209504,390911,1078334,813750
458512,83396,136505,402093,455786
736989,121984,195043,566199,632755
809790,196063,197317,771507,424731
548244,103484,165157,479366,580371
402145,82273,136387,345788,392547
695083,163307,145787,341204,387839
537373,136502,178556,478912,535866
438851,83679,132987,426171,439753
396710,74974,122958,342171,385249
781746,145747,234285,1057896,1124348
446291,83506,135088,384347,434263
1117491,192116,368036,1031922,1078954
966107,145678,237219,678175,779140
605097,107994,173080,504005,569628
634272,110975,209544,533601,576174
479170,89933,143105,421492,477451
578229,108057,220547,623298,617689
499053,110875,150520,439461,497371
757214,134657,234589,707935,620583
393498,74312,119396,344823,391293
609201,114593,211188,535237,605682
425068,79846,127508,366889,421850
729091,136100,238183,676236,727650
752729,112322,194562,488706,398706
681174,91093,122987,343824,388995
412021,73543,121999,359413,402894
1155627,195571,384091,1111194,1257402
1036154,146213,236111,687965,1078504
732248,136386,229476,634076,597873
368894,74693,121084,342123,396576
397811,82397,117707,337735,388129
766973,122089,207857,589860,642578
426563,80257,128149,371037,422429
464792,87778,137442,401401,454078
548983,105949,158214,451003,548092
444921,83337,132339,392118,440077
730652,123043,231135,701749,854886
407004,104379,130291,362905,411848
409006,81448,118831,345768,395357
1046035,226128,370229,1061337,1069576
494333,83517,134061,385339,436902
561411,105762,165170,457975,530604
480737,89538,143737,420103,475552
458952,86789,138404,399398,450457
782816,129688,225885,614112,418043
425021,80845,130233,376945,448828
645988,120525,193770,563888,641890
475533,90346,143586,418830,475505
397741,70313,115245,344541,388724
839322,137102,220952,643345,860857
645133,123178,186942,565727,646527
377589,82537,126128,341692,387161
504162,93680,149852,437245,496799
701157,113585,148567,707887,425612
380556,78513,123556,352726,395021
438019,82146,121434,344472,389396
443167,84471,133203,418587,440046
681770,121717,203712,598483,709647
397376,82272,149039,345598,387986
477947,90128,143053,457582,565974
683058,75401,119554,345160,393362
1373097,191375,264113,348468,392385
550971,105475,160224,510889,557228
583284,108321,172995,507518,574006
798208,129784,210719,605870,687742
623629,114441,182866,540531,604736
540917,95647,122393,349168,394185
730662,136088,217746,629696,613354
732812,135700,219170,633824,726480
718537,127739,204905,598897,712407
795829,114183,187662,522217,593168
394938,71686,118350,346074,395851
601448,103817,166281,486865,544449
615967,108911,168026,504973,574593
620613,123590,174615,504673,574251
576173,124722,172413,506955,569515
662173,113626,179193,523415,578068
479082,91173,139790,418604,472218
765777,124873,205867,643666,683903
576094,103854,164871,478380,547477
773858,145762,236319,856494,659710
527117,99119,156335,456892,522289
366524,82916,123240,341581,414405
690658,142753,312475,681429,714019
393711,75343,118499,343743,505720
374360,81672,125557,345152,395233
740329,130807,228097,647262,741978
577805,102905,164409,482951,546268
865062,173629,280625,817987,712279
548336,98286,164111,485149,549467
371417,106301,125909,333134,475725
737260,141761,224006,646232,743932
609175,160767,184230,544250,595272
678356,115073,188638,562121,639290
464481,87348,135128,401899,451930
425368,93378,129069,511904,474457
440779,85453,132231,427632,441848
430069,80219,128372,370752,425852
823355,130500,454672,1175016,1379036
398630,74857,111803,346919,389906
652635,165387,250228,729823,643682
903525,172263,278061,772666,1010111
424387,79762,167097,375946,423767
1318327,165664,309427,949130,1107323
368550,82185,122939,345567,384967
646684,115415,193334,565020,639750
646383,144549,236724,572970,651949
856401,145758,247978,709003,830317
501703,94225,148961,434583,536911
642445,120701,192030,566330,646249
426600,79682,151520,372565,421627
501049,93894,150393,436877,946608
780829,146123,232864,679926,812204
523414,115428,155915,456020,515678
424203,105915,167157,348939,393661
424550,79872,135172,372229,422278
686523,118603,199507,646635,682351
547989,95057,163824,499733,668043
433643,109748,138522,373955,432055
706458,119704,201818,594071,389998
590000,150875,202116,529271,591058
417845,69463,119022,344525,392506
479557,89994,144592,449343,478771
761681,83365,121456,381109,456499
477837,111476,133663,377332,418737
644540,119909,193854,586716,393845
500519,94406,151125,439770,497278
501328,84390,132362,386220,466506
1212258,270553,346660,484118,540605
484905,85876,135449,401898,456757
426486,76226,127509,373601,430768
613674,135608,174893,533525,582299
577461,107968,241651,509069,575693
481325,91142,140103,420072,472917
701563,83843,122105,368756,386059
779331,145512,228942,678089,843738
606566,113357,176779,534666,608027
1065218,83749,121934,341135,389398
576268,108200,178220,509221,582012
420873,113050,151647,386849,432566
403634,82821,128190,340368,387897
398030,75218,119034,343213,395702
394693,74329,114589,345847,387383
682217,120325,190534,549582,644070
644592,120526,193730,553830,648889
609485,114054,235777,547733,620271
743273,81862,121224,342524,387757
550165,104576,164157,478797,546739
458733,85939,136905,392672,565489
685148,129453,198791,601287,815826
415138,74573,119517,343192,392391
783939,145382,284358,364405,385970
685181,128836,206118,600571,686324
609820,113757,182394,528446,600831
908469,174436,263740,794405,1277047
970728,162330,283044,423640,475859
1375843,75698,114709,336722,383856
381373,98907,124124,336390,397399
750578,121091,137592,388170,439128
682494,120701,205691,597311,678453
478785,89563,143641,416537,480000
531190,190543,354870,911416,1019255
456836,86628,137523,403676,494938
372067,82350,116074,331186,385686
689170,164037,121749,344704,383358
606659,167809,183995,629313,674347
524722,98077,156294,458220,518057
477978,89658,144214,418864,473622
581061,108435,173509,507731,664886
409374,77168,128125,350787,445372
487661,75541,116427,340171,392655
683447,127814,205775,598310,674459
516961,125349,173582,427007,483829
610825,114925,183048,526608,604788
767308,137283,218278,629725,613782
671480,121155,189424,566961,644255
992958,220880,278349,886890,1044757
779281,145690,228824,680155,841086
549068,103493,165411,519237,541920
452199,83669,132205,385024,437266
623973,111500,170839,519311,590218
779797,87452,128944,391912,436823
374852,79046,128515,343671,399731
729000,135429,271088,703984,554038
590586,99721,157683,490913,527109
535552,97875,151995,456121,521994
413240,77011,118945,358844,430969
392734,74758,118224,345492,392971
776993,130215,219508,642533,727647
602079,166069,219121,496892,550518
456523,81501,127148,371656,422883
649271,161785,218809,590090,662318
479942,86076,174137,416767,475323
422263,80376,134148,365613,416633
371045,78523,122160,343293,425012
780864,146492,229341,683935,834017
778634,138929,232032,843226,993369
460780,104126,137432,402179,457210
522506,97616,155663,518200,522422
505158,84105,134860,385626,447047
428746,79680,123375,370345,421161
700170,83821,122059,345138,386070
703392,120871,194421,562409,645357
444876,80223,127061,372159,466086
570237,93686,153525,458349,521510
1261850,251302,427812,1068410,1409304
382472,78423,124247,343960,397373
611900,167936,135549,346876,385256
553845,102715,164608,482087,547671
655918,112982,192945,537927,608360
475074,86766,129464,384914,465324
409981,77213,122598,355997,406921
680511,122142,188094,567756,641261
843626,157770,356434,1111844,1233599
392462,82278,123639,349550,397154
778983,146945,394854,1079736,1047008
778842,137343,230085,621458,721534
731392,115860,186261,534882,604381
940844,137912,220751,639379,719920
522758,115013,156475,479240,523174
437545,78743,132273,386056,436735
910798,162698,277056,609143,570886
500567,100047,151825,481724,516031
678847,183141,230416,671725,496413
478769,95681,147901,426976,524092
833136,158768,250059,734873,759344
479429,90926,145545,419736,478166
575873,103588,182367,545048,575589
429518,120874,203063,369442,429195
776424,122176,207338,591848,684397
402343,82846,123359,378721,397161
648768,117093,198304,555765,689993
408278,73080,118595,358926,400543
370298,82480,117402,339879,386032
568272,82443,122140,345423,386799
410056,103360,130266,358649,517454
424496,77380,121556,370537,422027
442617,83786,132862,427615,473033
438220,82953,131904,430138,441562
380892,79391,124800,348460,397019
642901,122458,191171,575359,685227
525056,103738,238541,562468,548351
433411,76058,117201,398485,408648
687345,128543,199247,592720,1083081
550957,105681,196546,556707,573596
685519,103204,118955,345449,381643
457824,82420,138202,401030,455815
424764,80451,145143,396670,420968
396344,74562,115783,344805,405156
704156,124612,213870,728397,686183
419644,80348,127387,371574,459936
780110,253676,257392,688396,778441
369512,85488,165757,343785,420646
685091,119775,309571,1105220,1272967
644260,119085,243458,565659,646804
722556,129708,218118,681207,733338
698913,115141,194007,559742,640987
643430,137961,214161,350760,392651
492345,83773,128469,388085,436436
577459,108028,172106,504853,577600
504252,93361,149379,435122,571931
579540,124940,171946,503950,567168
733371,193376,147442,346375,401712
1046933,204606,330738,960672,1228875
522669,98256,158972,457676,516333
549405,103172,198572,475527,546575
396856,74674,118687,344528,455387
642361,119050,234115,575207,646216
728968,136843,220529,697273,771641
644934,120071,193350,562098,648938
379765,94332,137264,344898,385960
690646,122637,203988,600129,683334
729850,203387,130744,342664,385386
479913,82191,143223,423821,517087
678085,123836,370606,1055092,1223956
402582,74928,126040,469766,418274
492067,92575,138354,400772,468787
411089,77383,122531,357954,402954
459635,88593,139031,407573,459369
648958,121758,196099,567562,643710
607604,129492,190613,533746,606509
719038,127190,211935,611478,676478
837817,129615,207731,603597,683963
481134,84492,132495,385539,442055
373655,81977,121574,340061,381040
736715,136805,228938,641426,731200
477276,86810,136617,434358,461524
868384,137934,215058,633723,710185
646190,121292,193231,566781,727367
606445,108739,183496,533097,637882
368509,81744,121453,341538,381496
653484,82454,122828,344820,385874
409980,77419,123265,378867,408074
371527,78447,128848,342282,387743
477147,90001,184486,420339,479477
504707,90430,147618,421435,536725
731063,136652,217421,634112,975860
440196,83754,127502,386161,497685
730805,136564,257445,779481,737916
555363,94207,153274,439300,499033
444326,83841,132522,414919,435031
609500,111795,170005,574312,588385
643241,119496,185999,565809,641069
611772,115378,182021,531300,606513
454204,83721,121990,346245,393432
476763,89488,143901,419935,477171
440452,83994,174792,390354,438855
493833,83948,134191,440243,435955
521535,98341,152635,470229,514933
411068,77179,122963,382474,409076
410745,75057,119165,344877,392475
547511,103022,160921,507232,546557
921396,143284,247160,739224,684668
680137,130137,191998,602595,675055
477708,91238,142685,417849,477197
395455,74278,119018,344041,379673
392236,74990,118375,344913,488030
548333,119772,164527,472554,537896
619077,147989,244060,571698,575899
398702,75776,115263,343953,391995
613600,142793,189133,522852,597243
395895,71765,111116,344300,395342
372203,78011,121487,342376,382063
647941,120122,193307,564466,698672
727224,146297,212926,639021,767374
743904,120639,201123,548684,622891
737193,81640,121518,342377,386578
906056,82536,121129,350285,394598
369300,81747,122094,354777,385554
406090,74773,118539,344025,387591
642983,121664,192346,600566,647395
727638,133140,238754,667102,775369
466413,86289,137379,408851,454272
394069,74827,118566,346031,392681
483120,90480,143621,419482,552356
499518,105701,145606,432380,496917
370411,78513,123978,341233,388583
390735,74843,118875,340816,393728
554784,103357,165280,482635,541011
426588,79713,130090,369866,419678
525512,98696,174996,454234,521585
645425,117899,202330,602161,652687
408829,76412,119296,355362,405420
628608,113935,175895,530709,607342
644414,122011,194258,554844,639404
1349859,213933,409079,1179364,550701
412296,77835,122274,353438,430037
408503,74585,118608,344054,395726
523511,99022,158032,517427,525023
548840,102895,171573,481569,548915
440627,82733,135206,444284,458544
649596,138157,193249,563490,506160
577705,108255,172938,540716,571894
787566,179600,234636,589229,668772
746490,83546,118726,343395,392526
736650,136399,213771,639216,675297
566789,99258,170748,472857,534750
400238,75620,123761,341711,391905
479576,89738,143894,417820,478618
424783,80106,128400,368535,418475
371272,82381,121866,342802,383172
1362829,253854,512264,1280547,1386834
724125,135963,212485,637985,728068
687696,122385,198794,592189,680600
833988,68105,120129,338016,387970
368802,82491,122289,339812,435938
540477,80888,130177,367121,421497
486338,80529,127630,372150,419788
425365,77130,123405,371260,418151
615444,107880,182735,511441,626435
612558,82108,124958,351023,399879
464843,100381,128613,372075,422483
424842,81561,127157,484351,452740
1070206,183379,332159,951521,1327642
413770,77988,167320,354168,407148
729224,133658,218052,645623,735357
501192,95020,150648,435844,546856
1055821,153281,344661,1139254,1396496
522066,145468,187972,545742,407600
629034,131503,224089,606352,699680
597884,140586,205857,582170,704639
407092,76062,119362,344194,390544
426442,69666,118911,340746,458294
643567,133104,217393,610457,682954
400555,110408,135769,364414,499550
397457,75685,121625,348487,396183
400678,77025,122124,350169,402514
452470,75941,119902,374265,507568
488788,74238,124437,342532,392687
381485,83575,124093,350655,392045
405240,112093,138461,369349,444359
398949,75695,124528,352375,397524
995474,159109,253555,741967,582141
423554,112746,127945,372259,417958
407359,76084,143771,354689,429774
782908,144757,228201,734899,387508
642769,119797,192712,566096,642401
840584,105506,132479,339505,396891
425503,75703,180199,409167,464479
399495,79674,118957,344482,397533
643327,117165,187117,347369,382886
440166,80468,129158,500783,503454
372934,81608,120638,336385,408579
439519,83718,130979,387138,437506
443100,101252,139673,418555,471114
394799,74187,113921,338400,391819
440769,88721,140104,385960,441979
507750,122759,151331,401423,456765
1098699,128968,194648,584396,641276
840029,132739,236656,672620,777526
552354,113434,143087,382413,435677
392711,96400,131074,358421,406724
705398,81508,117745,342583,382574
435745,83511,131418,384244,436153
730795,136263,212876,640657,728417
441115,82818,159960,388365,439974
815826,74664,127556,340251,384672
597255,110359,175201,519889,650066
369095,81838,120935,340795,386156
645270,118518,233383,591269,642465
370176,82398,122067,337407,387695
389116,75209,167850,391076,396344
481726,90352,143053,416835,474154
491139,91297,137271,400843,459827
617526,168763,363341,997466,952519
446778,83347,131219,386739,426409
479011,89122,142450,418277,476242
542476,90316,145938,438179,496673
612530,153311,205251,505176,574764
680820,120085,193416,561876,633129
457497,86157,136836,399919,457980
396066,74604,117595,346761,389640
527927,97745,158014,458182,519138
672334,74579,118407,337567,404021
626532,108004,173448,499259,572917
1231589,211856,349686,686403,498558
573656,107411,173594,536732,571722
517893,78831,122059,343116,384140
605499,75074,121486,343376,439277
409084,76440,122978,378413,410119
779494,143645,245728,674647,882899
394390,74312,117787,349550,381342
573678,107317,160849,505216,571873
372184,82460,121647,336539,385189
588313,155159,185726,501369,556640
528649,98012,156896,499846,579245
